"Arde, se calcina su corazón y su cuerpo está doliente. De igual modo a mí me arde y se calcina mi corazón.","Zo̱, da zot'i ri ndäte ne ri ngo̱k'ei yabu̱ xa ñ'u̱. Mahye̱gi nugi zo̱ ne da zät'i ma ndäte.",Otomí del Mezquital (ote),Visión de los vencidos (hñahñu),visiondelosvencidoshnahnu.pdf,5c8a6eb3656c6f188d010000
"Luego ya vienen, de nuevo vienen en seguimiento de Citlaltépec. A Tlacopan. Allí se establecen en el Palacio.","Ebu̱ ba ehe man'aki ba te̱nga ra t'o̱ho̱  ra thuhu ra Citlaltépec. Tlacopan, Nubia ba o̱t'ra b'u̱i ha ra ndo̱m'ihmu.",Otomí del Mezquital (ote),Visión de los vencidos (hñahñu),visiondelosvencidoshnahnu.pdf,5c8a6eb3656c6f188d010000
"y mirad que no lo descubráis a hijo de madre, so pena de las graves penas de tirar hasta los cimientos de casas,","y mirad que no lo descubráis a hijo de madre, so pena de las graves penas de tirar hasta los cimientos de casas,",Otomí del Mezquital (ote),Visión de los vencidos (hñahñu),visiondelosvencidoshnahnu.pdf,5c8a6eb3656c6f188d010000
"En este tiempo viene una embajada del rg de Acolhuacan, Tecocoltzin. Los que vienen a conferenciar en Tlatelolco son:","Di geb'u̱, ba ehe̱ n'a ra m'e̱hni ra bo̱nahmu nuni Acolhuacan, mra tuhu ra Tecocoltzin. Nu'u̱ bi ñ'ehe da ñäui ko ya jä'i mi ñ'ehe nuni Tlatelolco ge nuya:",Otomí del Mezquital (ote),Visión de los vencidos (hñahñu),visiondelosvencidoshnahnu.pdf,5c8a6eb3656c6f188d010000
"Por cierto serás esclava, serás persona de otro:","""Nu'a dra t'o̱t'ai ra b'e̱go, gri j'äi ma n'a:",Otomí del Mezquital (ote),Visión de los vencidos (hñahñu),visiondelosvencidoshnahnu.pdf,5c8a6eb3656c6f188d010000
tono alto,nzu̱ni nts'edi,Otomí del Mezquital (ote),NORMA DE ESCRITURA DE LA LENGUA HÑÄHÑU (OTOMÍ),Norma_Otomi.pdf,401520850c96432caeac2b47
Era muy grande el pantano,migrande na ra báthá,Otomí del Estado de México (ots),"El otomí de toluca, Yolanda Lastra",elotomidetoluca.pdf,5c53d031656c6f085a010000
"Por ahora sólo unas cortas palabras diremos,","Nubia se̱he̱ ra ya t u̱ka noya ga mähu̱,",Otomí del Mezquital (ote),Visión de los vencidos (hñahñu),visiondelosvencidoshnahnu.pdf,5c8a6eb3656c6f188d010000
"Lo envuelven todo él también con su manto de abajo, que tiene pintadas calaveras y huesos.","Mi pants'i gatho nu'a nehe ko ra he, bi mu̱di ri ngati, nu'a ra dutu xki ja ya njat'i, mi pe̱tsa ya k'oi ya ñäxu anmo ne ya ndoy'o anmo.",Otomí del Mezquital (ote),Visión de los vencidos (hñahñu),visiondelosvencidoshnahnu.pdf,5c8a6eb3656c6f188d010000
"Le digo: “pues ¿que no es tu tambor?”, le digo",díxihkó xo xathó k'a ritambór dí'imbí,Otomí del Estado de México (ots),"El otomí de toluca, Yolanda Lastra",elotomidetoluca.pdf,5c53d031656c6f085a010000
"por doquiera lanzaban estocadas, buscaban cosas: por si alguno estaba oculto allí;","habu̱ ra za mi fo̱ta ya nzu̱ni pa xama da zu̱di nu'u̱ xki ñ'ogi,",Otomí del Mezquital (ote),Visión de los vencidos (hñahñu),visiondelosvencidoshnahnu.pdf,5c8a6eb3656c6f188d010000
Dejó de hablar solamente.,Njabu̱ bi nja n'a xe̱ni ra pa.,Otomí del Mezquital (ote),Visión de los vencidos (hñahñu),visiondelosvencidoshnahnu.pdf,5c8a6eb3656c6f188d010000
¿Quién los cortaba? Pues nadie,to dadu̱hkihíya'wi xo khóthó,Otomí del Estado de México (ots),"El otomí de toluca, Yolanda Lastra",elotomidetoluca.pdf,5c53d031656c6f085a010000
"Tal como si unidos perseveraran allí, como si fueran bestezuelas, unos a otros se daban palmadas: tan alegre estaba su corazón.","Ngu mra me̱ti, nu'a r'a hyodi, habu mi y'o, n'a ngu n'a mi johya mi mfe̱m'a xinxi xi mi johya ya ndäte, mi thede n'a ngu n'a mi hñu̱fi ne mi fe̱m'a ya xinxi: xi mi b'u̱i mpaha.",Otomí del Mezquital (ote),Visión de los vencidos (hñahñu),visiondelosvencidoshnahnu.pdf,5c8a6eb3656c6f188d010000
Pues entonces ya tenía ganas de salirme,ya xo ndípe̱'ts'i gana gwapu̱niya'wi,Otomí del Estado de México (ots),"El otomí de toluca, Yolanda Lastra",elotomidetoluca.pdf,5c53d031656c6f085a010000
"""pueden identificarse esos canales, señalando su probable ubicación: Tecpantzinco “seguramente 	daba sobre la Calzada de Tacuba... ”""","a tsa da huahni nda'a nuya ñ'uthe ñ'udi habu̱ mi r'ani: ra Tecpantzinco” mi tso̱nibu̱ ha nubia ja ra nxika ñ'u ra thuhu ra Tacuba...”,",Otomí del Mezquital (ote),Visión de los vencidos (hñahñu),visiondelosvencidoshnahnu.pdf,5c8a6eb3656c6f188d010000
